Annotation	log2FoldChange	pvalue
miR-199a-1-3p	1.796666346568239	0.0007111672358194
miR-199a-2-3p	1.796666346568239	0.0007111672358194
miR-199b-3p	1.796666346568239	0.0007111672358194
miR-199a-1-3p	2.016347982950355	0.0003088281040732
miR-199a-2-3p	2.016347982950355	0.0003088281040732
miR-199b-3p	2.016347982950355	0.0003088281040732
miR-140-3p	-1.858141123181095	2.2585569293140493e-08
miR-140-3p	-2.487139510784094	1.2485229120497536e-11
miR-140-3p	-2.134883030237082	2.0071094163435035e-10
miR-140-3p	-2.6249369397561333	2.322348311339589e-14
miR-99a	-2.9577289771115574	1.3739921076472642e-14
miR-10b	-1.8071898985679549	2.293940174487225e-07
miR-10b	-1.7787121780436848	5.468067092097616e-08
miR-10b	-1.9393672214649456	1.1616977803615493e-07
miR-22	-1.5206093959535003	0.0042405482585772
miR-17*	1.4140301131568769	0.0033544338215099
miR-378	-3.265718572614034	7.773203402689983e-15
miR-378	-3.4969460696790864	1.0816510193986877e-18
miR-378	-4.351643847015679	5.756090675010768e-26
miR-378	-4.461747693835199	6.105885002931662e-23
miR-378	-3.6075755285658033	4.96260747320593e-19
miR-378	-3.573186257314928	3.9325377218410885e-21
miR-378	-4.043988795783713	4.796024716776651e-20
let-7d	1.4373252824764402	0.0001702974845013
let-7d	0.8769839781182045	0.0071753584185211
miR-29b-1	1.0808612854891442	0.0199752436190516
miR-29b-2	1.0808612854891442	0.0199752436190516
miR-497	-3.2044855803322214	5.884190188684692e-17
miR-16-1	1.8297129018535927	0.0005749802123521
miR-16-2	1.8297129018535927	0.0005749802123521
miR-103-1	4.036241695101838	1.0431426085028125e-07
miR-103-2	4.036241695101838	1.0431426085028125e-07
miR-103-1	1.3822084099923784	1.1779331103518748e-05
miR-103-2	1.3822084099923784	1.1779331103518748e-05
miR-107	1.3822084099923784	1.1779331103518748e-05
miR-103-1	2.308692641132139	1.760900282811703e-06
miR-103-2	2.308692641132139	1.760900282811703e-06
miR-107	2.308692641132139	1.760900282811703e-06
miR-103-1	1.413953714925832	0.0009273223044719
miR-103-2	1.413953714925832	0.0009273223044719
miR-107	1.413953714925832	0.0009273223044719
miR-107	2.5419245372056327	6.885887877984464e-06
miR-107	2.163753382933141	1.352833931298248e-05
miR-103-1	0.9068851494958016	0.0058983890905548
miR-103-2	0.9068851494958016	0.0058983890905548
miR-103-1	1.13611454950183	7.727174150760037e-05
miR-103-2	1.13611454950183	7.727174150760037e-05
miR-103-1	1.2048181294914806	9.927736089940974e-05
miR-103-2	1.2048181294914806	9.927736089940974e-05
miR-103-1	1.6068205620169906	1.038139264002614e-06
miR-103-2	1.6068205620169906	1.038139264002614e-06
miR-103-1	2.584231571260782	0.000107583837293
miR-103-2	2.584231571260782	0.000107583837293
miR-107	2.584231571260782	0.000107583837293
miR-103-1	1.9636807686634747	7.663483793217884e-07
miR-103-2	1.9636807686634747	7.663483793217884e-07
miR-107	1.9636807686634747	7.663483793217884e-07
miR-103-1	2.6994739085748605	1.2113035578118696e-05
miR-103-2	2.6994739085748605	1.2113035578118696e-05
miR-107	2.6994739085748605	1.2113035578118696e-05
miR-222	-1.0740706663896369	0.0006806065202564
miR-222	-0.871650655280376	0.0236400889492623
miR-221	-1.1695151970031854	2.194473841038276e-05
miR-221	-1.1917112160917167	0.0014473201922573
miR-221	-1.024456977284643	0.001139297279699
miR-423-3p	-0.989099767480524	0.0362969558970467
miR-423-3p	-1.234502557927346	0.0021779491565279
miR-423-3p	-1.0672891922166845	0.0086630610370826
miR-22	-2.7882852005583203	3.841246673385798e-12
miR-21	2.8288795834366045	7.897626714469614e-14
miR-21	3.3665790526474493	1.963528709438352e-23
miR-21	3.143128935748706	1.7084058941501423e-14
miR-21	3.350599034071465	3.842191106851294e-23
miR-21	3.2608768520213967	1.8509354453391365e-12
miR-21	3.3602700079090213	2.5545765366153462e-11
miR-27a*	-0.9432252850314689	0.0300662130565618
miR-142-3p	3.0846164274941814	0.0001284221456449
miR-142-5p	1.9117529195011995	0.0001348249602066
miR-142-5p	1.687106025789575	0.0061576737536633
miR-374b	2.001311637125669	8.365562546014458e-05
miR-374b	2.3825322861109584	1.4631078352898963e-06
miR-377	-1.7068955912329922	8.101509367635179e-05
miR-23a	1.007932384713956	0.0115027243720119
miR-23b	1.007932384713956	0.0115027243720119
miR-23b	1.294140320468615	0.0025312277810102
miR-23b	0.8055096894175653	0.0141116958233113
miR-23a	1.0777246639384026	0.0068443077197258
miR-23b	1.0777246639384026	0.0068443077197258
miR-23a	-0.9511833030158282	0.0014996215292808
miR-23a	0.757398333741121	0.0234405178129714
miR-23a	1.3142025788357024	0.0006356065893758
miR-376a-1-3p	-3.447369891316697	3.03574451216231e-14
miR-376a-2-3p	-3.447369891316697	3.03574451216231e-14
miR-425	1.0707491849362327	0.0106570544613037
miR-183	2.271589773019217	2.934470819343528e-07
miR-183	2.916355901869989	9.091589586894831e-10
miR-92a-1	-0.9669386281426248	0.0403536418166234
miR-92a-2	-0.9669386281426248	0.0403536418166234
miR-186	1.6093762228036104	0.0003304149039689
miR-93	0.6886347165847101	0.0316293481223247
miR-93	0.8516177753407134	0.0223274743764476
miR-93	1.2162256282418145	2.0629511573805868e-05
miR-93	2.1236113664262883	3.398153699418278e-06
miR-93	0.8967367891014855	0.0211831351265565
miR-17	-0.910784387157478	0.0392402065128822
miR-17	1.2904846645898274	0.0014134870523209
miR-17	2.1982962304019864	7.304188432984084e-05
miR-17	1.114674981719686	0.041532659999768
miR-21*	2.123159105572784	7.059187637221596e-07
miR-21*	1.6923900815189865	0.0007074733456741
miR-191	1.2766646086887086	0.0007283088580807
miR-224	1.2368280556711413	0.0383702239374024
miR-224	2.064850695440555	0.0060404349475249
miR-574-3p	-2.493642908356328	8.957983656159348e-11
