Annotation	log2FoldChange	pvalue
AHDC1	-1.4552503737072744	0.025915149785329
ZBTB8A	-0.4589560586365961	0.0206022150188457
ZNF362	-1.0767831653613975	0.0085629861671367
TFAP2E	-0.675165914686911	0.01828234936921
POU3F1	3.329209292571036	7.020594288508014e-07
ZFP69B	1.550827835740444	3.400809048798814e-06
SCMH1	-0.6651287005537556	0.0007679885844986
YBX1	-0.5679327937286244	0.0157631416316251
DMBX1	3.9361271077231192	3.2685686301871226e-05
TAL1	-1.5298904832897544	0.0027653837504254
FOXD2	1.4861294035992083	0.0010168832330006
GLIS1	-1.9314181472441696	0.0011432745366236
JUN	-1.8232609229063723	0.0022671456485652
NFIA	-1.840280073434208	9.251872043569929e-09
FOXD3	2.7104421192734574	0.0009422443454007
GFI1	3.396389603404092	3.301751614839129e-50
MTF2	0.6085224473124047	0.0185470498516231
DR1	0.8099740345587694	1.5793356674984102e-06
NHLH2	2.322782569509815	0.0057881112102144
TBX15	-1.0015768354396717	0.0010573446703964
SETDB1	0.9593439110041356	0.00062429136713
RFX5	2.156491855676502	6.486745309884276e-14
RORC	-1.0821778375169664	0.0002165599412968
ASH1L	0.7963583809903914	0.0129006176123518
ETV3L	-1.990215181359096	0.0046714583582813
ETV3	0.5456399735782624	0.0063310778471093
USF1	0.5049457342028604	0.0032110790450558
ATF6	0.6534286177813801	0.0170574818935753
LMX1A	-3.0697181788860664	0.0044975149612518
RXRG	-2.7860781503522807	0.0027805278663425
POGK	0.3987080759766271	0.0415359147810785
POU2F1	0.4861234604601873	0.0140391247474254
PRRX1	-1.018678793618782	0.0021651144828741
ZBTB37	1.0093689199781335	0.0001837674664162
LHX4	1.8174320304280456	7.410943148814879e-09
ZBTB41	0.844285044234155	0.0165269364630269
LHX9	5.656837812473762	8.9397308517286e-08
NR5A2	0.691900269972224	0.0212535553118266
ZNF281	0.9976885783338192	2.1312747871017097e-05
ELF3	-1.7588692968873452	0.0004738014919938
ZBED6	2.499384589888605	3.372924862692092e-06
SOX13	-0.6989889583460309	0.0439264579607554
ELK4	1.211973024330122	1.26298079615285e-07
IRF6	-1.6604177389921242	0.0001151743105172
ATF3	-1.159463270720949	0.0070174677823316
PROX1	-1.2657038173635722	0.0171478987974746
MIXL1	4.016004557283575	3.5898564357665425e-10
ZNF678	0.977013754887548	0.0001947972553505
ZNF695	1.6807525801593175	0.004124638784148
ZNF124	0.4709839325541706	0.0418005834017052
ZNF496	-0.4964893321106954	0.0133491198272642
ZNF692	-1.1549255754638836	0.0001340546740923
MKX	3.181988909632682	5.928498301447653e-07
ZEB1	0.692186401500085	0.0004307374531992
ZNF33B	-0.3960205774879364	0.0474327727316918
ZNF487	-1.0213496387012022	5.895455795341373e-05
ZNF32	-1.461346805511542	1.1493894032644686e-06
ZNF22	-0.9347145767318332	6.151621191417975e-05
ZNF488	-2.723146369160421	0.0034024441861506
ZNF365	-0.7319491653793192	0.0113016632961751
ZNF503	-2.2493061856238747	5.694864159804265e-06
HHEX	1.247933912471189	0.0002757441620063
LCOR	0.9757937491938424	0.0003136260202654
PAX2	-1.833262506469508	3.340741632334094e-05
MXI1	-1.4833728945914786	1.9685217903388173e-05
TCF7L2	-1.5179349551643224	9.677640405999072e-05
EMX2	-2.416475785473412	0.0070248128433452
IKZF5	0.3463524097049338	0.0438145127055061
EBF3	-1.1965256109634967	0.0109754389941646
VENTX	-1.6926214439747265	0.0074037216346152
ZNF511	-1.744675170535379	0.0005865997129546
DEAF1	-1.345197497797443	0.0093584110793436
ASCL2	1.839617023531685	0.0017347940749244
ZNF195	-0.4769677391886296	0.0231342231531686
ZNF215	1.1284513781847885	7.323352005615424e-05
ZNF143	0.6126095127490037	0.0015465445868989
ARNTL	0.5374166538066839	0.0123447218556113
SOX6	-1.243839073144095	0.0132060210561219
E2F8	3.234891200106202	6.96852590023111e-16
PRMT3	0.5982809991410897	0.0304095016685678
PAX6	-0.6362509492822068	0.0215039126746178
ELF5	-1.5084446795940354	0.0127882037893901
RAG1	-1.0267287739817084	0.0056247777150006
BATF2	2.1983152290181915	6.315527232344011e-11
FOSL1	-1.9834334012831247	0.003380585226007
KDM2A	0.5561545324210668	0.0014872187927229
CREBZF	0.965816766759014	4.966322812565616e-06
POU2AF1	3.343357718920912	1.094968913198443e-20
ZBTB16	-1.948173903290652	0.0339153255460996
KMT2A	0.625882533754125	0.0051291044053785
ZNF202	-0.2634526092651933	0.0466318727759418
ETS1	2.6008063622237136	2.5895930303369493e-21
FLI1	1.1889486631307564	3.3305087129540416e-06
BARX2	-2.7548914294576847	9.539789623725283e-10
THYN1	-0.7668798966337175	0.0001239045853961
IRF7	1.7741631350654974	0.0209183455685848
FOXM1	1.2188030139697674	0.0035250243031626
TEAD4	-0.7786132696463638	0.0026763779094523
ZNF384	0.680124867372759	0.0272190388199949
FOXJ2	-0.3389756002728433	0.04997382134103
YBX3	-2.3061520419083896	1.439826368774013e-06
ETV6	-0.5645883806908228	0.0002723880916061
BHLHE41	-1.3415235520515716	4.185415509206879e-06
ARNTL2	1.789004541979173	5.0698446093761116e-12
ARID2	0.9873143171562296	0.0024851941237017
VDR	-0.766887112712872	0.0172416214164673
ZNF641	1.075221431033315	4.668290399382102e-05
ATF1	0.6697055769461212	0.001329386102596
ZNF740	0.7613814517623041	0.0012843013814645
SP1	0.7975916455768147	0.006526491473162
AC023509.3	-0.8716804833767742	0.0119018885817694
HOXC13	3.41208662918619	8.642191279716532e-12
HOXC12	8.357893819139404	4.323656003549941e-13
HOXC11	4.391491449363262	1.0279410735040444e-22
HOXC10	1.9169305875735447	2.277520831625524e-07
HOXC6	-0.8528508099081205	0.0022330609991739
HOXC9	-2.110788474406336	2.06645886268596e-17
HOXC8	-1.0861603751697686	1.271842307396781e-06
IKZF4	1.0124731861448475	4.356348648020068e-05
STAT2	1.333243981371983	3.26425230608383e-10
BAZ2A	1.0116527783321656	1.4345680735758543e-05
ZBTB39	0.5834060014753265	0.0043810773936505
DDIT3	-1.13051338158061	3.0392165101480377e-06
THAP2	0.6520932658067681	0.0017004561592943
E2F7	3.98737393129025	3.129634835106225e-10
EEA1	0.78847864943703	0.0005687502313391
ASCL1	1.7496591364127212	0.0052185344252547
PRDM4	0.7725838330182492	0.0030866630972946
TRAFD1	1.7052131452993151	1.0758813446699778e-09
TBX5	-0.9878872626463449	0.0012349331223496
TBX3	-1.8499769885867008	3.511314155939949e-05
KDM2B	0.9116442774556318	0.0020496544615952
ZNF664	0.8191839224802722	0.0065437231353183
ZNF605	0.8099540065054385	0.0040123664013921
ZNF26	0.9871767939972532	0.0016587883706782
ZNF891	0.9131883696909002	0.0027197235259563
ZNF268	-0.7731609856950113	0.0127703714525803
ELF1	0.8830321197215113	5.234456327469006e-05
TSC22D1	-1.892319266087384	5.281171868691196e-08
DACH1	-1.6291733705823102	0.0017604163423814
KLF5	-1.7723834998348025	4.980991513815216e-05
KLF12	1.3484612895558314	4.8162863041502376e-08
DZIP1	-0.8944492991832603	0.0002355414579778
MBNL2	-0.4670316893366124	0.0378928594802195
ZNF219	-1.880849233291575	5.591295330828633e-05
SALL2	-1.359016119373323	0.0014016009144628
