Annotation,log2FoldChange,pvalue
LINC02397,1.159540666616432,0.0024109607538238
AC145423.3,-0.6299634513597928,0.0095256242315095
PPP1R26P1,-0.397089090757523,0.0301239927796431
LINC00402,1.7000114309244294,0.0008664236047832
AL137244.1,-0.4866256717943626,0.0257941910124248
AL138955.1,-0.4460691308904994,0.0253842481254746
LINC02306,-1.9534466969668944,0.0150687325742465
AL606834.1,-0.5473633280206739,0.0259197666479999
AL122035.1,-0.4496521116423433,0.0091937102153495
TCL6,1.249810091751438,0.0085800140029769
AL137786.1,-1.3395551498338518,0.0129202785830337
AL117209.1,-0.5182484005098936,0.0268463849383261
AL139300.2,-0.4426744921146161,0.04222030421595
DPH6-DT,-0.5693540872796174,0.0497739426231761
AC025430.1,-0.6178991867345579,0.0318891599829047
AC021752.1,-0.8584673039831814,0.0099603652021955
AC066613.1,0.5308677857898011,0.0049648383160095
LINC00926,0.585898700905684,0.045144414350617
AC090515.5,-0.6034918487498697,0.0416955788388825
TMEM202-AS1,-0.4490030759185662,0.029007356245114
AC060809.1,-1.084489194766249,0.0143815436724093
AC023034.1,-1.2493499707236326,0.0036792495534738
AC104041.1,-0.9586837171999943,0.0495043734952065
SNHG9,0.7621829122882909,0.0257332993417304
AC106820.4,-0.4726448545687806,0.0433911075300886
AC020663.3,-0.3347687985150765,0.0486652301475503
AC008870.2,-0.5051146028319382,0.0086370000429901
AC008731.1,-0.7152686323587059,0.0113709752498231
ZKSCAN2-DT,-0.3399386937998053,0.0248903056190767
AC138904.1,1.1676899238355416,0.013175183820988
AC009093.2,0.4854558332474373,0.0362420981981067
AC093249.2,-0.8849620979908003,0.0149264745497281
AC007599.2,-0.814016283844816,0.0183391204045785
AC007496.2,-0.627815392621925,0.0279792164160073
LINC00922,1.5688549680747668,0.0170957479815829
AC009054.2,-0.5743713754321973,0.0258918274621466
AC079414.3,-0.6043197243583049,0.0491113356297941
AC005696.3,-0.5901738745257161,0.012909858103858
AC015908.3,-0.7386572648305906,0.0336181954197426
AC127537.1,-0.5284473451332364,0.0222142796761579
CCDC144NL-AS1,0.81115750988509,0.0427768553655554
AC005899.8,-0.3395670643285906,0.0337002220344801
AC005288.1,0.6402412128104813,0.006477171364328
RARA-AS1,0.624841831746156,0.0062100150898722
LINC00910,-0.5262573555366754,0.0116291447607444
AC142472.1,-0.4423013092836784,0.0107340032746967
AC007638.2,-0.9970168196858812,0.0491533787991513
WFDC21P,-0.5753800653665783,0.0347120000275852
TBX2-AS1,-0.479734780519917,0.0430650920415208
AC007780.1,0.5619778437011733,0.0218662735761896
AC015802.4,-0.5603328994048171,0.0036070519452884
AC100788.1,-0.5735772879314635,0.0246994368069866
AC087741.1,-0.3163356649748345,0.0268989446720361
AC132872.1,-0.7171656639652753,0.0004786450898895
HEXD-IT1,-0.5977127949259363,0.0374457842873537
AP000864.1,0.8999144261544463,0.0116310485808759
AC090912.3,-1.2687782474557023,0.0095836540810774
DSCAS,-0.8079592026092878,0.0113165051785515
AC011815.1,-0.2875031233367828,0.0350826336469218
AC100778.2,-0.6074535931615761,0.0324822644917538
AC100778.3,-0.7529161233507432,0.0008911129061558
LINC01544,-0.7490266750115914,0.0350235600802167
LINC01836,-0.7358233114529845,0.0376424527647058
AC004637.1,-0.63828234246506,0.0426436311827572
AC008760.2,-0.9191060302069926,0.0289995147858322
AC008760.1,-0.473565240811319,0.0465945326586773
AC008894.1,-1.1038403908431806,0.0015201598681215
AC008764.8,-0.2433874456733949,0.0442679563752408
AC010319.4,-0.5906104476731995,0.0396463815810223
ZNF350-AS1,-0.7644172560572752,0.0334786978486867
AC011468.1,-0.5322575774668921,0.0294154442418736
